time,charge_level
1689175739922208772, 81 
1689175749934246762, 81 
1689175759945919901, 81 
1689175769951055889, 81 
1689175779960929794, 80 
1689175789972405545, 80 
1689175799980929798, 80 
1689175809991043068, 80 
1689175820000941723, 80 
1689175830010947087, 80 
1689175840025638772, 79 
1689175850042087274, 79 
1689175860054173323, 79 
1689175870066494548, 79 
1689175880078960685, 79 
1689175890091306261, 79 
1689175900103617054, 78 
1689175910116022544, 78 
1689175920121054429, 78 
1689175930131162937, 78 
1689175940141063663, 78 
1689175950151108218, 78 
1689175960161380392, 77 
1689175970181055303, 77 
1689175980193460612, 77 
1689175990201488605, 77 
1689176000213171502, 77 
1689176010220980440, 77 
1689176020230986551, 76 
1689176030240986539, 76 
1689176040250987095, 76 
1689176050262962861, 76 
1689176060271103342, 76 
1689176070281092196, 76 
1689176080291034620, 75 
1689176090301059856, 75 
1689176100311019271, 75 
1689176110321014497, 75 
1689176120332753435, 75 
1689176130341011595, 75 
1689176140350992815, 74 
1689176150363287112, 74 
1689176160367498780, 74 
1689176170369579528, 74 
1689176180380996384, 74 
1689176190390987441, 74 
1689176200401004910, 73 
1689176210412336414, 73 
1689176220423326517, 73 
1689176230431508893, 73 
1689176240441036192, 73 
1689176250451056425, 73 
1689176260461006562, 72 
1689176270470992176, 72 
1689176280481233680, 72 
1689176290490974866, 72 
1689176300502532207, 72 
1689176310512215454, 72 
1689176320520958775, 71 
1689176330531011715, 71 
1689176340540968469, 71 
1689176350552020705, 71 
1689176360563265695, 71 
1689176370571468714, 71 
1689176380581036921, 70 
1689176390591006286, 70 
1689176400601059708, 70 
1689176410611035660, 70 
1689176420622131689, 70 
1689176430631029889, 70 
1689176440643220231, 69 
1689176450655321266, 69 
1689176460666719900, 69 
1689176470673007389, 69 
1689176480685225605, 69 
1689176490691007579, 68 
1689176500701016687, 68 
1689176510711034860, 68 
1689176520715558923, 68 
1689176530727635280, 68 
1689176540736911713, 68 
1689176550741030898, 67 
1689176560751519953, 67 
1689176570763908672, 67 
1689176580771024756, 67 
1689176590781166293, 67 
1689176600791068970, 67 
1689176610803494022, 66 
1689176620811046858, 66 
1689176630821058681, 66 
1689176640831006638, 66 
1689176650841000702, 66 
1689176660850989802, 66 
1689176670861008127, 65 
1689176680871033771, 65 
1689176690881002590, 65 
1689176700893093883, 65 
1689176710905230320, 65 
1689176720917415046, 65 
1689176730921015035, 64 
1689176740931010663, 64 
1689176750941084068, 64 
1689176760957508252, 64 
1689176770960950580, 64 
1689176780970983152, 64 
1689176790980985968, 63 
1689176800991070505, 63 
1689176811001036935, 63 
1689176821011100485, 63 
1689176831021031743, 63 
1689176841030985881, 63 
1689176851041024322, 62 
1689176861051002915, 62 
1689176871060991467, 62 
1689176881071054158, 62 
1689176891081008088, 62 
1689176901091007854, 62 
1689176911103097691, 61 
1689176921111042084, 61 
1689176931121008243, 61 
1689176941133153940, 61 
1689176951137795741, 61 
1689176961142653928, 61 
1689176971151064766, 60 
1689176981161017693, 60 
1689176991170990272, 60 
1689177001181194857, 60 
1689177011191637086, 60 
1689177021200957489, 60 
1689177031211099048, 59 
1689177041223369379, 59 
1689177051235478959, 59 
1689177061243133005, 59 
1689177071255198564, 59 
1689177081261016526, 59 
1689177091273091073, 58 
1689177101280948877, 58 
1689177111291026773, 58 
1689177121303204249, 58 
1689177131315249804, 58 
1689177141321005996, 58 
1689177151332974609, 57 
1689177161344973930, 57 
1689177171357010115, 57 
1689177181367473483, 57 
1689177191371023836, 57 
1689177201381012066, 57 
1689177211391017244, 56 
1689177221400985106, 56 
1689177231410979149, 56 
1689177241421689017, 56 
1689177251431008987, 56 
1689177261443238962, 56 
1689177271455372959, 55 
1689177281467430569, 55 
1689177291471000657, 55 
1689177301481133951, 55 
1689177311490935774, 55 
1689177321500972955, 55 
1689177331511058624, 54 
1689177341521007580, 54 
1689177351530972537, 54 
1689177361540946782, 54 
1689177371550938549, 54 
1689177381561117949, 53 
1689177391571081811, 53 
1689177401583243105, 53 
1689177411591301688, 53 
1689177421601033079, 53 
1689177431611054941, 53 
1689177441621080926, 52 
1689177451631053903, 52 
1689177461641085752, 52 
1689177471651702570, 52 
1689177481661112906, 52 
1689177491671085928, 52 
1689177501681067164, 51 
1689177511691088544, 51 
1689177521701195750, 51 
1689177531713537585, 51 
1689177541725687390, 51 
1689177551728256171, 51 
1689177561740310210, 50 
1689177571750995106, 50 
1689177581759735232, 50 
1689177591761970339, 50 
1689177601774214277, 50 
1689177611786359055, 50 
1689177621790750422, 49 
1689177631801127969, 49 
1689177641812082489, 49 
1689177651821000134, 49 
1689177661831066308, 49 
1689177671841011481, 49 
1689177681851042108, 49 
1689177691863249637, 48 
1689177701875366522, 48 
1689177711880958038, 48 
1689177721892978572, 48 
1689177731901013621, 48 
1689177741912987639, 48 
1689177751921051635, 47 
1689177761930971840, 47 
1689177771941045757, 47 
1689177781951003332, 47 
1689177791961023573, 47 
1689177801970992780, 46 
1689177811982691259, 46 
1689177821994813646, 46 
1689177831999273712, 46 
1689177842011338079, 46 
1689177852023373120, 46 
1689177862035403730, 45 
1689177872043102469, 45 
1689177882051002815, 45 
1689177892060992831, 45 
1689177902072183665, 45 
1689177912081672094, 45 
1689177922090891394, 44 
1689177932100997496, 44 
1689177942110992850, 44 
1689177952121935004, 44 
1689177962135278536, 44 
1689177972147262828, 44 
1689177982159292667, 43 
1689177992170998678, 43 
1689178002181007374, 43 
1689178012190979946, 43 
1689178022200993632, 43 
1689178032210992024, 43 
1689178042221014497, 42 
1689178052232059328, 42 
1689178062243761515, 42 
1689178072251015603, 42 
1689178082260985478, 42 
1689178092270976405, 42 
1689178102281404530, 41 
1689178112291950110, 41 
1689178122301053619, 41 
1689178132312651398, 41 
1689178142320990493, 41 
1689178152331151516, 41 
1689178162341071604, 40 
1689178172351610703, 40 
1689178182361048452, 40 
1689178192371007085, 40 
1689178202381036602, 40 
1689178212391040076, 40 
1689178222400982193, 39 
1689178232413082165, 39 
1689178242421121101, 39 
1689178252430993672, 39 
1689178262441060507, 39 
1689178272452979257, 39 
1689178282462708733, 38 
1689178292474138247, 38 
1689178302481017138, 38 
1689178312491003094, 38 
1689178322501007007, 38 
1689178332510998147, 38 
1689178342521002034, 37 
1689178352530991063, 37 
1689178362543041375, 37 
1689178372550999545, 37 
1689178382560987799, 37 
1689178392570988380, 37 
1689178402583221906, 36 
1689178412595384373, 36 
1689178422607449738, 36 
1689178432629984902, 36 
1689178442640970959, 36 
1689178452651024601, 36 
1689178462663046187, 35 
1689178472674286085, 35 
1689178482681031597, 35 
1689178492691110984, 35 
1689178502702819250, 35 
1689178512715061813, 35 
1689178522720984887, 34 
1689178532733292140, 34 
1689178542741009742, 34 
1689178552753119547, 34 
1689178562765232241, 34 
1689178572777243659, 34 
1689178582785064382, 33 
1689178592794451740, 33 
1689178602801032877, 33 
1689178612813396211, 33 
1689178622824768476, 33 
1689178632835272797, 32 
1689178642845545629, 32 
1689178652854364476, 32 
1689178662861298452, 32 
1689178672871088848, 32 
1689178682881167440, 32 
1689178692891059854, 31 
1689178702901202391, 31 
1689178712911084166, 31 
1689178722920996481, 31 
1689178732931053657, 31 
1689178742941892203, 30 
1689178752953129307, 30 
1689178762962559922, 30 
1689178772971113108, 30 
1689178782981145578, 30 
1689178793001016270, 29 
1689178803011001168, 29 
1689178813021095768, 29 
1689178823031127884, 29 
1689178833041354129, 29 
1689178843051038879, 28 
1689178853063227075, 28 
1689178863071287378, 28 
1689178873081082222, 28 
1689178883093151814, 28 
1689178893100973877, 27 
1689178903104867993, 27 
1689178913117144968, 27 
1689178923127696385, 27 
1689178933130981947, 27 
1689178943141213337, 26 
1689178953151140782, 26 
1689178963160968812, 26 
1689178973172858046, 26 
1689178983181339174, 26 
1689178993195924205, 25 
1689179003201143487, 25 
1689179013211235424, 25 
1689179023221101539, 25 
1689179033231096101, 24 
1689179043241701766, 24 
1689179053252978845, 24 
1689179063265546607, 24 
1689179073274339440, 24 
1689179083284459622, 23 
1689179093291821747, 23 
1689179103301464240, 23 
1689179113311143824, 23 
1689179123323473359, 22 
1689179133336875608, 22 
1689179143349761617, 22 
1689179153360985450, 22 
1689179163371900437, 22 
1689179173380980071, 21 
1689179183391011846, 21 
1689179193401135660, 21 
1689179203412462030, 21 
1689179213421922734, 21 
1689179223431388497, 20 
1689179233440981663, 20 
1689179243454111181, 20 
1689179253461068429, 20 
1689179263471004165, 19 
1689179273481083085, 19 
1689179283491133261, 19 
1689179293503512500, 19 
1689179303511368526, 18 
1689179313520993304, 18 
1689179323530976108, 18 
1689179333540985011, 18 
1689179343551062461, 17 
1689179353560975281, 17 
1689179363571062378, 17 
1689179373581158489, 16 
1689179383592256270, 16 
1689179393600999114, 16 
