received_time, packet_text, rssi
1689841192288438554, 2, -99
1689841192352176560, 4, -84
1689841192501575750, 5, -95
1689841192917718396, 5, -96
1689841193060840124, 5, -90
1689841193264536804, 4, -84
1689841193287390826, 2, -96
1689841193358069723, 5, -95
1689841193463729567, 3, -94
1689841193487203646, 3, -94
1689841193654302688, 3, -94
1689841193796405716, 4, -80
1689841193954816771, 5, -93
1689841194238715304, 2, -91
1689841194413890143, 4, -89
1689841194434011535, 3, -93
1689841194534596464, 2, -85
1689841194681641870, 5, -112
1689841194719735863, 3, -90
1689841195393509319, 4, -83
1689841195448682332, 2, -95
1689841195482037804, 5, -93
1689841195511578936, 3, -86
1689841195700482530, 4, -76
1689841195888075452, 5, -88
1689841196052356174, 5, -90
1689841196410910564, 3, -87
1689841196459738009, 3, -89
1689841196512219474, 5, -94
1689841196833791105, 3, -82
1689841196894493241, 3, -87
1689841197096268166, 3, -88
1689841197193683441, 5, -107
1689841197243217675, 3, -87
1689841197393961085, 2, -89
1689841197418827122, 4, -90
1689841197623044155, 5, -93
1689841197642883728, 2, -86
1689841197794599197, 4, -89
1689841198206458037, 3, -89
1689841198312742365, 4, -84
1689841198386821338, 2, -93
1689841198462197038, 5, -89
1689841198605665949, 3, -91
1689841198731839686, 4, -87
1689841199048855339, 4, -90
1689841199247490115, 5, -92
1689841199352057505, 5, -99
1689841199395926549, 2, -90
1689841199512725869, 3, -86
1689841199930224036, 2, -88
1689841200006213116, 4, -97
1689841200067761063, 2, -91
1689841200223752183, 4, -99
1689841200273953380, 5, -82
1689841200348633412, 3, -85
1689841200700781974, 2, -90
1689841200759355775, 5, -86
1689841200943521666, 3, -91
1689841201039036101, 4, -93
1689841201235563563, 2, -89
1689841201280366185, 5, -88
1689841201453259238, 5, -91
1689841201572559579, 5, -101
1689841201600817495, 2, -89
1689841201672736558, 2, -92
1689841201947148815, 4, -91
1689841202054359084, 3, -94
1689841202131962506, 3, -101
1689841202269235761, 5, -98
1689841202301682080, 4, -95
1689841202602662130, 4, -96
1689841202652092101, 2, -111
1689841202720712399, 3, -95
1689841202787383338, 5, -99
1689841202946527288, 3, -96
1689841203333581350, 5, -98
1689841203422366264, 3, -97
1689841203483199588, 4, -96
1689841203601864083, 2, -112
1689841203766637573, 5, -97
1689841203966548942, 2, -110
1689841204274170163, 5, -98
1689841204347324201, U, -95
1689841204423912079, 3, -97
1689841204510694953, 5, -97
1689841204681959201, 4, -98
1689841204940788838, 2, -105
1689841205007222191, 3, -98
1689841205119847566, 5, -101
1689841205230087603, 4, -98
1689841205323130047, 4, -97
1689841205596634840, 5, -100
1689841205617976988, 3, -97
1689841205786417528, 4, -96
1689841205886225886, 2, -97
1689841206155050472, 5, -93
1689841206326176092, 5, -98
1689841206377282687, 2, -98
1689841206445337915, 3, -98
1689841206894905546, 4, -101
1689841207192551400, 5, -97
1689841207276445716, 2, -103
1689841207388506987, 3, -98
1689841207577538487, 2, -102
1689841207628813080, 2, -103
1689841207739613481, 2, -104
1689841207790036764, 5, -93
1689841207849976975, 3, -99
1689841207891216478, 4, -107
1689841208013386648, 2, -101
1689841208326749945, 5, -97
1689841208559184232, 2, -103
1689841208845455452, 3, -96
1689841208882398963, 4, -98
1689841209125380212, 5, -98
1689841209240040887, 2, -101
1689841209352983955, 4, -98
1689841209412720199, 2, -102
1689841209584224384, 3, -98
1689841209628078174, 2, -102
1689841209702305795, 3, -98
1689841210063418183, 3, -98
1689841210109026904, 5, -98
1689841210323395540, 4, -99
1689841210386352833, 3, -97
1689841210527842657, 2, -101
1689841210665072959, 4, -98
1689841210709543905, 2, -102
1689841210791059163, 2, -102
1689841210835729444, 5, -98
1689841210869370639, 5, -98
1689841210890847161, 4, -100
1689841210922224369, 3, -98
1689841210979542372, 4, -100
1689841211072995461, 4, -100
1689841211608854769, 5, -99
1689841211629922075, 2, -102
1689841211720923858, 3, -94
1689841211855393140, 4, -100
1689841212284356725, 3, -98
1689841212372802855, 5, -99
1689841212586691972, 2, -98
1689841212707895731, 3, -97
1689841212925118198, 5, -99
1689841212990316461, 4, -99
1689841213103301280, 4, -99
1689841213244855372, 3, -98
1689841213321653101, 2, -102
1689841213617829991, 5, -98
1689841213805132653, 4, -98
1689841213886827389, 2, -101
1689841213954911779, 3, -98
1689841214133473188, 3, -98
1689841214410276793, 3, -97
1689841214551717223, 5, -98
1689841214587299619, 5, -99
