"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",
40167.25557839902,-125.4981173532399902,39075.47828324321,-121.4391402393499953,38219.08804132184,-116.6972532533699785,37691.90297652022,-115.8112442036199918,35501.11463056887,-116.671340864460006,23125.05103772794,-122.6531706513700038,44476.36841392586,-117.999790417449986,36277.06351351082,-121.8093850517900016,42547.23811911946,-118.0913299944400018,25785.7121961156,-112.552754267379981
40918.09250676493,-124.2340296554199875,39591.89072936867,-124.3388610210099893,38812.64393218537,-121.882816499189999,39462.8916916549,-122.428403063059988,36087.31995437631,-122.0450347438400055,23521.45137821144,-126.0178177292000038,44580.43043253913,-109.5109427543399929,37195.92466481659,-122.9721217508100035,43241.08302634267,-114.473446087880006,28824.47225250537,-115.3254932053499993
41186.69991284753,-123.5357224521799816,40611.79673259502,-124.7012974043599906,39020.9086850239,-114.593757603039989,39542.30723138388,-115.5186784965799797,36163.81948071446,-117.7119447613499968,24077.57323129951,-118.4835239599899803,46687.61527859355,-119.3953630366199828,37771.19258345819,-121.010999289880004,45198.66979672663,-113.947014849850006,28908.17385796011,-123.0034743686200038
41397.97006070752,-124.1662506888099808,42566.68988346455,-121.7345397896899891,39142.80812642346,-112.142684001169982,40242.47449851744,-122.4472282282399926,37014.91395363022,-119.2541209490999843,25009.41390368679,-127.7667386770699801,46984.89028864836,-120.8605183083899982,41646.08236213497,-117.6510545727599887,46208.12995364837,-116.1683130146099922,29362.37272306504,-116.8468487682799828
41999.85379973344,-114.3391543666199931,43332.29985676388,-128.5745471748099926,39678.17685433747,-111.5536380919199923,41041.12926399101,-112.3263379795699844,38532.23917089325,-119.3936631133099975,25442.50031912264,-124.7379625280800036,47499.91654472394,-120.8962429496199883,42091.27831210205,-126.02313944606999,46489.05455035452,-112.0483066456399963,29697.7434401067,-123.5948327095200053
42512.88347881861,-118.580362655360005,44314.43343601038,-121.4987425043100012,39906.98278228068,-118.788594960269989,41336.46697773113,-120.6802480248299782,38883.09130322459,-126.3584775350300045,25500.523086271,-123.227456775219991,49927.14898048386,-121.5658037602800045,43740.20776668774,-123.6451405603299913,46806.20936785808,-111.5997998060799997,29787.32452688013,-115.1264408705600028
43870.1817301419,-121.503775824029986,45419.81056529482,-127.3406894034899887,39972.48309359132,-117.0415402498999805,43176.91725268759,-117.9178445655599882,39801.71673580699,-123.6217201312599907,25663.14947938777,-125.4323596447700021,51732.27119563785,-119.729851243919995,45727.76720040477,-120.0796925180599993,47067.53159652861,-115.9206450124700036,30489.80754467879,-112.5026830342899866
44145.49909481312,-120.8022835561699816,46717.54797997291,-121.8301268336699931,42542.90565962993,-119.8999697901400051,43240.87436247703,-119.5804512995800047,39924.62790309962,-120.7024588867799928,29173.30962269234,-118.6023177748599828,52817.97102544371,-120.5446019545599935,46120.02075667492,-120.543039246199981,47613.85844062565,-111.9742223884099982,33339.06514830506,-116.2398001941500066
46398.04946288213,-117.707272453819996,47559.63025455721,-124.3410072652000048,42893.38774280429,-117.5841359345699852,43855.85374760294,-113.4926925787100056,40140.99013546867,-120.8176147578499803,30340.94764141958,-129.1595999158099626,55421.8080393972,-119.8485994133299922,47615.30375700339,-121.5108541835299997,51064.39235108003,-114.3488160979199785,34223.75186920351,-120.96614115829999
47226.22481199593,-125.1761628260399841,48796.09300523321,-127.6748453874699858,43787.62755649508,-116.6282960247000057,46744.75589559809,-117.6758532017800005,40512.36179469727,-116.732913909540002,30748.2309703861,-122.0320590193200015,55498.37898834018,-120.4084761372400005,47661.13024501001,-122.1394042000199813,53602.11564171027,-106.245454809389997,35318.30470518042,-118.7264807326099852
