"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",
34677.23479107529,-62.6379105803650018,28921.67689184374,-57.44495065434799115,28447.37626463881,-53.30398995532499365,28612.97870803102,-50.08444656495099395,27251.69126497759,-53.66915557361399155,26551.54195644257,-65.40644378981298225,25065.75915020507,-67.52647913345597855,30338.57460001357,-59.2883433240340023,33770.66490773005,-46.79239375265599655,27430.39178004776,-49.1322140220389938
35324.67125698106,-61.9983807748649978,29555.77837528178,-52.3213714311870033,29925.4827578782,-61.284702745651998,29798.43693008157,-54.9335798630889938,27606.58252435036,-52.46581363741898925,27333.17168408312,-57.7593319124149926,28305.15726977259,-49.8769176363529991,31661.941712638,-52.3412804075269944,35452.5386831737,-47.160435893816995,28048.52465259897,-53.68044223222099705
35833.57792370908,-61.71778838898799775,30278.31386680338,-51.85655973530899115,30198.73309847061,-54.70845553383499265,31160.21155370614,-53.20658572441999455,27923.42032188341,-69.36317419758299225,27838.36340418276,-56.6511397042579998,28555.95986873444,-52.65834974582499205,32487.62903171275,-62.88538325472399015,37165.9880828391,-55.7729430248379995,29148.6445463452,-50.78802554752499515
38484.90339759123,-52.5141368014269998,30824.7413529701,-51.23258031429600105,31928.70437664459,-49.83717805051900005,31696.56911540872,-51.11289427671898955,28508.38243437563,-65.4153148194710068,28223.7816238775,-65.96358218520199985,30037.12645371831,-54.2284590066339971,35614.14555366957,-61.01333504873299755,37854.10762728112,-44.06541521279699205,29759.04191507148,-66.45865348289299825
39225.46926423889,-54.9976429612579946,31444.81936819283,-50.72058158864199105,32493.0324823764,-48.533850683536002,32208.17789984394,-53.2627964641799989,30653.85356621784,-55.7020275275200018,28438.98588876684,-58.1088201028519931,30457.8886811202,-61.6054414571210029,35999.20908595311,-66.4051500003189969,39170.61577781754,-47.54714946590199515,30550.82395997945,-58.39699826912799065
40328.02053387621,-63.80168065896199875,33135.52682501903,-54.2294274882300014,34382.5797841141,-51.81927196944199905,32579.52496030146,-53.14213665558399645,32159.10646420034,-56.0491424920939918,32374.6083045437,-60.91589496675199175,32019.98850856509,-52.00864508010499765,37483.16944423654,-54.7184244840910024,40162.48068614332,-60.1165705687909903,31471.18711920446,-47.411517008695
40841.92509095927,-54.75293383160600035,34203.10111733392,-48.12944264058700105,35100.85706850379,-49.44201663700199825,32952.39723611492,-57.1123436988269899,32704.23636636508,-61.936515161112993,32723.00458206597,-62.3168716191130014,32434.13305774409,-60.4750067184499895,39247.70860622805,-54.6993133087780021,42551.420198962,-47.76140393385600175,32584.98367801699,-66.47372166762400505
41776.3914912948,-51.8429678419839914,37615.76792643184,-54.3364965346969908,35511.29471771854,-45.84688589118100295,33924.75563994919,-49.37651070649299335,33789.14523357727,-61.12748127514799965,33445.80575114058,-63.1467052835159988,32728.85923422334,-57.468116458924001,40497.27312461283,-59.0215571825030023,43575.86897403102,-48.83960092894599805,33622.33721502959,-49.83298020873299065
42659.62567960498,-59.7684577376460024,39007.46256236632,-49.5678046217219899,39068.44554888819,-44.9189208683200005,37725.28057577599,-58.98541128109098935,34399.0532090826,-58.28274934705599685,33901.94583616014,-57.1936880628219908,38442.73140169543,-53.9769862246780006,41321.43765311436,-60.844054358158999,44425.24201602884,-53.48939971644600155,35135.6598521693,-47.65747569685998975
44290.33923925847,-55.58980824660198975,40001.44965317352,-55.34677209304899715,39616.42305300835,-43.91842168969499462,38922.99425302164,-55.70086941257299865,34961.48947095399,-57.3910062891189907,34797.88043396152,-67.30866481315698005,39719.98524999657,-54.3115464419149985,44397.53504194592,-59.11751424466699215,46063.60598348972,-44.80579043483000117,36931.09969705422,-47.2647394144919983
