"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",
9904.59020465271,-64.11442896394700565,10155.48086246055,-70.76541680850999655,18980.03117206572,-86.30378712539598455,7139.09516905837,-68.7033245553479899,11827.77791179838,-76.608818858321001,15472.85700867412,-60.26794947203599375,10511.64360501302,-61.45946950353800255,11918.74577493988,-73.3030427993309953,10619.99767802236,-67.90399211718698755,6679.59441519348,-75.8317347385959973
10162.17507099392,-78.54963162520900235,12338.19475425004,-85.0532277165239914,21006.9181291411,-65.64972637083599215,7505.80032285245,-71.73496837723300215,12440.74518048015,-74.34550492247598155,15917.57546362921,-68.3986194891249963,11703.89584709539,-70.8791625484479934,12399.0375862443,-80.77967159377197925,11966.62496405462,-72.58345549903799535,7073.65198714044,-64.58527980975100015
10639.17281943429,-69.9452745102929893,13080.9185014451,-68.8938702668199878,22265.81413429347,-70.43883667851599705,7796.0737354717,-78.0927599138299795,13925.55925703223,-83.8309088374400058,16122.77828195783,-68.1064944089419836,12185.87505915986,-80.4660427811720066,12866.19081520863,-73.44992125588299785,14019.75830404445,-68.80896743446999125,8064.93149540376,-64.8195404052509898
11779.69729690188,-64.3122768785109994,16473.84921608665,-64.7139636219440033,22550.32496604968,-66.6816706602209875,8470.01717969042,-65.11402524372400055,16606.55434677946,-80.6177636984969863,17633.18309814195,-68.27324287712499975,13437.38401360651,-63.58462794873199155,13561.46659619527,-75.4910376922119891,15201.16370263577,-71.68368299537999605,9151.13480656106,-73.8709230602999863
12433.15055412466,-81.33556652803198935,17317.00076103415,-68.2419970285999963,24834.19590956682,-70.5251851853709861,10641.24306104464,-68.5363899469589908,19506.05300045577,-62.5707227226209991,17961.84515831539,-75.41096779988200155,13681.31368346782,-70.77649370502697905,17267.45723351683,-64.370709456589992,16522.75380881588,-69.02129309128798665,9436.70372456017,-72.3086951960590054
12741.0893497053,-68.95580463164299065,17549.30612768671,-76.3024547703179788,26991.47237581243,-68.70376352492598905,11363.84530108388,-62.000591080267,20143.68471970997,-82.9538279317039834,19521.39643753513,-73.0233828387349885,14246.93660699407,-63.6241260921939895,18491.8402669947,-85.08708169959098165,17011.2430952063,-69.81357052299998105,10444.71726504451,-77.017774435804
13239.60568412303,-71.95734443393197885,19085.17099096247,-74.79319214475898965,27402.57493424547,-69.78833819482298365,12731.89932245931,-64.95663048286399975,22495.74060227742,-77.65880169798100465,19814.93884338445,-69.4677588361879825,15308.4899232904,-64.67984643292697885,20608.1241150337,-79.0388475310950011,21973.27584010228,-70.0549457008060014,11036.02005311797,-66.75016005575798755
15197.02407385864,-79.10512988364999355,20591.49365572881,-77.6837227058079803,27764.1493839146,-76.2200942402390066,13161.82152269404,-69.7126644640729863,22917.77598943131,-71.36135254035897875,20459.9146810725,-73.0441251388899954,16493.17607144136,-64.97514012195497885,21826.43689119732,-69.8714584508979895,22424.61310925388,-63.8334378175709955,11630.48606981639,-66.02657490585599455
15738.49657002622,-74.9246509938720064,22137.29986464181,-68.34723102767497925,28270.0101338171,-83.7182195138269944,13472.71358579802,-74.6344653954959934,23123.34580073835,-68.3660897121969808,20665.03165408048,-62.64375715816800015,16900.35325448373,-64.17969358860000265,22278.17909737864,-69.8422130347159961,22934.1435440864,-78.85472671960599175,13078.63219376601,-71.97596424569400105
19040.6805199753,-71.3676732945809814,23354.5793715411,-68.6041885674029854,29517.90801740488,-68.76807250221798975,14978.56473138262,-71.5169309497609899,26478.47026366763,-69.66084409769899785,20843.63069964896,-60.82519878645099685,18215.75574704258,-73.6347053986689841,23899.46570256987,-68.13769435998997875,24025.37446317941,-70.31289331133399375,13403.44899841229,-80.71536672779097875
