"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-17:04:34-51471)",
278.31207659427,-65.4672150358229883,263.38063646531,-64.76740819185400235,302.55328963991,-71.3524331180410056,240.77269776485,-70.9912089508619883,165.41589221852,-74.0637024937499856,254.04749074135,-76.44430386996799565,174.24004308166,-61.5311340529730014,301.64705061391,-71.8424395287059948,303.83317951845,-64.7380133375010016,255.38063497536,-69.9650558217099953
291.0531422238,-63.7294765283469926,269.94458858606,-80.6501952478329825,307.83318185943,-64.8264151123729844,247.36111073896,-70.13393973487598005,169.43541223048,-68.80791117528599415,259.3806352678,-65.0640619698629903,178.25956307167,-65.46214686337700055,314.78267989764,-69.45529942012498705,309.29754724765,-65.57165972840598985,259.63074190653,-82.45782796739800325
300.44802679545,-69.9984835274310055,273.96410858646,-69.60456858215400155,332.51896721953,-78.40121658445198675,251.38063325306,-64.47833219789399065,173.59929442202,-64.62076985338799755,263.63074219336,-74.3328176060179825,182.81921747838,-75.8159216603270064,318.80219990519,-70.67609473663699735,317.92695683378,-80.07763746005099375,264.18462565457,-77.5471854119369933
305.29754556821,-66.55860712354598235,279.06213083492,-79.2965334006279929,345.59791777051,-78.89972874089897885,255.9112072589,-77.3058662289039941,181.16108976688,-60.0359655531379983,281.38176312684,-61.81849568009599215,194.0514252024,-60.95395752539700115,364.39212692165,-77.25484605924199825,322.80220172257,-73.3337272321249994,268.2041456633,-66.48561714826300285
313.92695514038,-72.52237802642798655,295.81365890032,-77.2529222485100033,349.61744141942,-75.593936113761998,260.28009568351,-69.9874262363319983,192.27082326467,-63.872458829145003,285.40128312999,-81.3001679851289791,199.81851473976,-66.28843962316298615,368.41164692763,-67.88228807414998285,327.82282842494,-75.45404609116599175,291.15578462666,-68.2096747257560023
320.5337676876,-64.14404906208198985,299.8331788997,-69.60591125355000455,353.85643320333,-95.5085458906810056,264.71428853307,-70.3560437929369866,226.39995599836,-72.75549868357100505,291.47591040911,-68.04818990777999925,204.87732403571,-55.2394321936869941,404.66583977002,-77.0473595158150031,331.84235230959,-70.9039872443829889,301.61115197819,-77.7148349784099819
324.55328767462,-65.76196442710798335,305.57239865073,-68.08708051991300155,367.82461540155,-72.14024032383599635,275.61380663533,-72.63616550212199705,259.95120073275,-70.3925366379139914,296.58030791431,-65.15980069055800055,222.41071103834,-57.3580088848819967,408.68536278962,-75.00770053943398315,336.51897008415,-71.5847592562709846,307.75611067589,-77.25711553408098065
329.26709564257,-64.08596295152000235,326.70919556323,-77.0155375800089811,371.84413719411,-67.92128903607999725,291.10798364003,-79.16281446259100075,276.95869124634,-66.49522682456299065,301.83215730785,-66.3558534495719809,226.43899768515,-52.6026750763849973,415.44952384631,-76.9304553030359839,344.23178631612,-73.6012299292709994,322.50906954073,-71.8350233346649813
342.93943800261,-79.7606970897199969,330.72871768681,-77.9165545014029985,378.85115414123,-74.37664362082099925,295.74891134374,-72.4828106749889966,280.97821125862,-68.7591825123389809,308.31009813488,-65.60965877589597965,233.16690053611,-56.45135021017298955,421.17371917135,-78.1293104524589805,348.25613039953,-71.0643504770879983,326.5285895474,-68.55454675331799285
368.99546606821,-67.95054517688200215,340.86821084824,-72.9894468289419931,387.63780137465,-76.44209959812198435,306.76444922397,-71.15165101855200175,287.47590929231,-64.64220468906799485,314.99980725073,-66.1649047257539846,237.1864205286,-49.8730704301659953,448.98234845364,-70.94384252177499635,353.59792136016,-77.9189843155219816,330.70919667313,-71.33862109444498835
378.46909914052,-61.4714448704949914,347.40954900476,-71.5835858838189834,396.258347489,-76.3783838829509986,340.25612690742,-69.3855472608530019,297.64704972054,-65.66577747377300485,350.19128308208,-71.3480496688639786,243.36110844818,-57.9696266702879936,455.04078897418,-70.4291474255039984,357.85643595839,-73.17274956547399225,334.72871880489,-71.85503069175098265
382.48861912791,-67.7364310283489883,357.34941988099,-72.0678962019889863,400.27786750212,-77.5496228006939813,349.85643061518,-62.08452672178599105,323.82282600217,-65.02926031684998505,364.01831565141,-62.04116109148600315,247.38063096007,-54.41616898186799725,459.06030897704,-79.0653545966609951,365.34942289123,-75.4741341135340063,340.23178483101,-70.5341123331849926
