"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230501-22:40:59-68504)",
9904.59020477844,-67.86071260561300255,10155.48086202238,-67.7101300456720023,18273.06300444163,-61.8322536139509961,7139.09516892796,-68.67202566596000655,11827.77791109648,-65.1146267595800053,15472.85700947657,-70.7529585714469814,10511.64360555629,-70.97933626068399325,11918.74577574287,-71.8317763875199941,10619.99767790701,-68.81570625182197855,7073.65198722455,-74.7806934814520045
10162.17507111965,-69.82536751635799955,12338.19475381187,-70.45691279535998285,18980.03117099944,-61.08777502015499265,7505.80032272204,-63.4317171748149915,12440.74517977825,-61.5494296588800008,15917.57546443166,-69.71381012539998755,11703.89584763866,-81.8021805442199931,12399.03758704729,-82.6780183137749984,11966.62496393927,-70.3557070627309995,8064.93149548787,-72.12433880910998565
10639.17281956002,-72.27537159344899435,16473.84921564848,-75.83950464908198765,21006.91812807482,-75.451172359856997,7796.07373534129,-69.3769058682069894,13925.55925633033,-58.90601603309299585,16122.77828276028,-76.1992572287209951,12185.87505970313,-69.9116223733259969,12866.19081601162,-77.3754729970099785,13080.73970040563,-64.213096509804984,9151.13480664517,-70.82423565250999755
11779.69729702761,-80.17568780246898515,16901.85436861232,-64.27100225122700265,22265.81413322719,-60.64503241062300255,8470.01717956001,-66.67977022235700685,16606.55434607756,-60.25897424047199965,17633.1830989444,-67.37742985453499475,13437.38401414978,-71.4144851478330051,13561.46659699826,-86.46945153877899735,14019.7583039291,-62.6149851920850009,9436.70372464428,-70.4221175962669858
12433.15055425039,-67.52285835359199925,17317.00076059598,-62.24098889140999775,22550.3249649834,-75.4822690788599854,10641.24306091423,-65.591532760983,19506.05299975387,-70.91631977017198065,17961.84515911784,-77.20847342391698455,13681.31368401109,-63.89553528340799435,17267.45723431982,-68.7133122707649873,15201.16370252042,-71.0559370891659793,10444.71726512862,-71.90572468709700585
12741.08934983103,-63.9957520498829948,17549.30612724854,-60.86423503538199475,24834.19590850054,-61.42583386147700235,11363.84530095347,-65.54251851665699725,20143.68471900807,-59.1739207460660023,19521.39643833758,-66.57763523513898435,14246.93660753734,-74.28575859052000375,18491.84026779769,-78.12959827973898515,16522.75380870053,-71.28662922082699505,11036.02005320208,-70.3500279344829946
13239.60568424876,-74.2766787269979998,19085.1709905243,-65.42071479325099375,26991.47237474615,-65.5857331809909849,12731.8993223289,-68.20229986321098155,22495.74060157552,-60.3907099909539935,19814.9388441869,-74.59174801624499165,15308.48992383367,-66.9036233411860051,20608.12411583669,-75.74034823439100675,17011.24309509095,-73.39422826931999535,11630.4860699005,-79.78478845099698415
15197.02407398437,-68.09576037151299465,20591.49365529064,-75.64364580853799655,27402.57493317919,-68.17116150843500555,13161.82152256363,-67.6747577823250023,22917.77598872941,-68.96059409369900075,20459.91468187495,-77.4955524620299909,16493.17607198463,-68.2103307633619804,21826.43689200031,-76.1087993190899963,21973.27583998693,-69.274359945772005,13078.63219385012,-82.73544587267798505
15738.49657015195,-67.2451399698639986,22137.29986420364,-64.06776422622999665,27764.14938284832,-62.2280483956979961,13472.71358566761,-59.44947098007600035,23123.34580003645,-67.25201583797098675,20665.03165488293,-68.1693697899000026,18215.75574758585,-68.7999497021159808,22278.17909818163,-71.6979535896149966,22424.61310913853,-67.8459447815919814,13403.4489984964,-69.0265849295169854
19040.68052010103,-69.05569258862499255,23354.57937110293,-65.81290733108198755,28270.01013275082,-60.5958031654499931,14978.56473125221,-71.43481209629098285,26478.47026296573,-55.2099038290149904,20843.63070045141,-73.0176764081169833,19851.86548567826,-78.4384849953149795,23899.46570337286,-70.78645354979599325,22934.14354397105,-67.514249356536993,18218.14699572389,-73.63339486232098325
