"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",
145.20176196127,-71.15414924681499515,81.64164118321,-70.76785806097399225,161.89079758599,-78.52269814375199505,70.00992601873,-64.8059386096269916,66.00992335627,-67.2860351629999795,116.12451763139,-80.9630450880849819,85.09530341198,-67.863505976965001,143.13118905657,-59.20761132936900115,115.88211917152,-73.92919798772800255,104.82986708798,-68.7508630908619975
157.73254289993,-85.6299519500499853,91.69097427625,-65.51276638007900005,168.76954529898,-70.477017286348001,74.38299114569,-66.91801068361098685,70.3829884822,-55.3914324780989913,164.50039213205,-63.79671567763699585,89.11482648352,-61.11040553057799205,157.58375414547,-64.72841129056598655,131.92362525068,-65.32712751841498265,108.84938897774,-68.2130753132099981
178.81921771649,-73.99875885295000415,95.71049427722,-70.2790936463759974,180.84025690478,-66.75152549949700625,81.09530269736,-67.4704522300339986,78.04543090605,-77.19608471437598475,168.51991213288,-61.67698427732599925,93.8444696451,-65.5158867387749805,164.94168741757,-66.00461627916499175,135.94314525122,-76.6007093227139816,115.34289206488,-68.1550547856549825
188.93974073742,-77.8097647279140003,107.42962837275,-68.4028442019409793,187.57586480762,-76.76343447585000455,85.1148257702,-79.1449363452749988,85.43463110445,-58.4590822217799936,172.76954666065,-62.02330788502099755,97.8874964944,-63.3344338233629995,182.09091846321,-56.3185017750289913,154.87901642576,-76.37253359590900435,132.8453120387,-62.79196419576800255
192.95926549882,-73.62280031951598825,144.8211131621,-67.8875155690929828,210.20097283956,-65.59633358117000035,105.53862799578,-69.94070159980498125,89.86797506388,-62.29472680800400005,177.59929548555,-63.0625549011359963,102.92072626401,-67.94036645661299165,210.8883562844,-103.869563641349998,158.89853642629,-76.22553137326499925,139.9306727953,-74.42140532301399925
198.05142787531,-67.56174836980599685,148.84063316305,-68.82127117872198565,214.22049283851,-70.1216358595749793,116.44108386139,-79.42570381471600135,93.88749506336,-58.18859801371199555,182.25956438951,-65.2577428133789963,107.7104986937,-77.45795894689598505,227.10122231572,-68.42180394865999885,171.91818436529,-73.1213964800209905,143.95019279655,-64.9770368033819918
209.92164578537,-70.46447786308198125,155.29710002189,-69.7922041125760014,218.64410924512,-66.33376987307198615,120.46060386176,-72.1986526814729925,98.92072483348,-60.4496951417989974,186.81921880839,-83.4205361738229951,112.82986903117,-79.4841715352879985,251.9112050826,-69.56885699279499115,207.00983046124,-73.5617592451539789,157.96796010921,-67.06278296997999155
213.94116578492,-68.84864534433100375,169.59929350785,-80.7299818190269886,226.41947723509,-73.827669479031982,128.3092292724,-70.280970162138004,103.71049726365,-71.0981175442809953,191.12989349953,-75.943100152024982,116.849390974,-66.9653448951899859,261.52139988479,-60.88140810302699875,229.33176489008,-71.07284270871897975,161.98748011046,-66.1493589080469915
218.29049381744,-70.74227776147998235,173.61881672534,-66.52028962576599705,230.4389997526,-67.9313522876140039,147.2772786064,-71.0490182483119949,108.82986760165,-63.1333514682639956,197.80801153033,-67.400064967574991,131.69983163312,-62.7015645654889934,265.54091988591,-64.7734743079799953,268.10137092957,-69.4683092630469898,184.9349686374,-61.29734205224299585
246.13810000217,-73.29698817534099905,198.95339851309,-75.3495640455890051,239.36110802639,-70.55321890543899565,163.98714435982,-75.21183826685700035,112.84938954491,-67.85653187125200225,207.05434072993,-65.7192288026080005,139.13118817446,-73.74019328893098155,269.7024776708,-60.92262356651599455,275.06213017242,-72.8134268966630029,188.95926210156,-68.5628049130299925
