"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",
10110.50289821221,-115.844521045530001,11665.84530335081,-116.3051144560799907,5261.67662620847,-108.4956776520599813,10696.85842936801,-119.8947916318900007,8958.49398669454,-116.8239137356599992,14812.62148326251,-116.6163629559000011,14174.38232813446,-120.9561933473999882,17405.71647794021,-115.610458341219981,9289.14773683551,-115.1910463482399786,18278.58329956034,-119.6625494114999805
14047.10903053067,-116.5658357969199981,11955.69873894163,-116.0613743308599902,5526.45889954696,-112.6548366126099833,12005.55358659795,-119.1798099132599868,9513.52571451303,-118.459374100549979,16306.17529097989,-116.2722269703299953,14449.73535302134,-123.0686100978599876,23925.88216396665,-118.8518492469999893,9596.1251193778,-119.0976517120799937,19467.1634109969,-109.8303122766199916
14478.48753689018,-119.2358258864300063,13060.05897867434,-111.0887672833700032,8967.40294713239,-119.281485901270002,12185.06228258647,-120.132577110289986,10166.2693325515,-118.7210170825499911,17812.34264750307,-119.0250669110699843,15169.60587879693,-132.2620841605800018,24925.29405370393,-114.1091303650800053,10256.84021529943,-111.3231836205099791,20081.65927713226,-119.3306230008400058
15206.47749373195,-120.4173876618999937,13502.66385532333,-112.5728623840599876,11224.49008876322,-105.3422469169299798,14876.98125691292,-117.7513227531800048,12480.54423116442,-124.1494373596299847,18518.63927019564,-120.5443495162099902,17138.3082821959,-116.9888285291899872,25346.60510310616,-114.9166342894099836,10902.31998632493,-116.442611415149997,20349.49151376842,-119.1339981084599907
15575.83120154892,-120.0221744712899857,14533.85803604556,-118.3507153606900028,11513.78941693297,-105.3699951803500023,15977.23464689419,-122.5599341301199837,15111.302399824,-121.9760885794899816,22588.8657722377,-123.6014669204199942,18576.00000988742,-114.940354548789997,25557.64780252412,-111.8018629100799895,11264.97499686218,-114.7909577518499868,21066.9671061416,-120.9968671710499843
16229.43115934206,-123.5157839309299841,15167.17120973809,-115.0018502566699962,13865.84530450842,-104.6895704428099801,17179.66169878437,-113.7101221408999829,15907.82317795178,-124.279721734419979,22932.42913877061,-122.3504684988500056,19093.71858717452,-117.1989900585199957,26860.99537263954,-114.5911800628699945,11575.29561407172,-110.5964001154100056,21437.81705336635,-115.6672838916599911
17041.22155398893,-125.3807704956699917,18488.99350998655,-117.3090111438699801,14447.17833144367,-112.9916579320399985,17548.78204699693,-128.4710598945999888,16192.53278624842,-124.4473468868399943,24645.50575309466,-123.9945382685999953,20178.62745689071,-118.4059683154199825,27838.810243536,-109.7559605671799826,12402.9974333255,-119.334737470350006,21647.03540440039,-116.252951047430002
17651.61892021121,-118.0843242913399813,19053.32161571836,-109.926024698679981,18584.24074307625,-113.2971552209199895,20064.20157032142,-115.455047549949995,18528.6499242055,-118.6067320680899962,24975.5882719505,-122.2755600599199961,20883.43968293422,-123.5533622775400028,29759.19429695099,-107.4597133650800056,12709.20700309581,-110.5152838187800054,21905.97828668945,-117.6983791749499911
18191.75860310015,-125.8881251094800001,19798.23233019989,-112.7702284726899786,19942.52426481493,-106.6410673639499857,20674.10954582675,-124.3763389591899791,19997.7674045819,-113.2478305945199957,28169.75558700172,-126.21029038252999,22450.87677589455,-123.2807288677300045,30417.09374281023,-113.0494254327399795,14404.31735722678,-117.9666225787699995,23079.9741790447,-114.7116256630199865
21403.05428288532,-120.7339654240399791,20094.70959516464,-113.2673954838300001,21876.88766877659,-108.268548678949997,21383.12936331183,-115.7893753382799952,21053.58390905735,-122.6390457460599913,32627.05258028598,-122.3300365524899855,25166.55586094142,-122.8282588875800055,30653.71602348578,-105.5446774108600035,15201.13152069995,-116.9464530239000051,23583.18010526425,-116.9615909826499938
22887.01464116875,-118.5056734444099785,22009.378364105,-120.7128520810699962,22659.48405518944,-113.3198742859800059,22898.94032914093,-115.3859831158700041,22513.64362970234,-122.369181676509981,34980.93879110191,-128.2855428816100125,26218.31533719885,-114.8414036916999801,31689.48420635411,-111.1717799646000056,18109.20006092618,-121.6926589607199953,24356.1683010109,-110.8174195235799853
24269.71790019551,-126.75181715667,22247.02404161927,-115.9835825192899956,23307.84809694835,-112.5104397936599976,24532.78856619503,-115.0138750113700036,22825.85490627531,-119.9889151249699917,35885.36049043924,-124.3621084916699993,28934.09069223164,-120.6267745066400035,31929.52639125346,-111.2998761824199785,21341.22171649464,-121.1933864762099798,26838.90205913831,-117.2715078402599995
25421.04425387368,-120.7942769548199913,23360.45047501821,-114.4625398756199953,23578.59391662006,-113.5190272764599791,24879.54547979215,-118.0314960097999797,23817.71980959309,-121.3277014829500041,37862.03502989169,-126.7739070094199856,29428.03696105964,-125.099354686229986,34168.42482627356,-114.703007373930006,23241.04646212101,-115.3420563872699912,27698.3283605707,-112.9488740784699981
30967.93495092596,-119.369314836229989,23931.30077054226,-115.2197027799599875,23823.56857753494,-113.3008570340499825,25401.20042540438,-120.1472451697199797,24364.64490844449,-122.229720556239982,38226.27877954253,-118.7899302301399865,32505.42328372508,-118.142398498130006,37676.01761060895,-116.7150158010300057,23797.37762256889,-115.8336902108,28624.73744021635,-117.1344940658700006
33526.60284549322,-122.8822164104099951,24787.91792861462,-113.601410012859986,27459.53364006162,-112.2185775929199847,25793.1663686312,-113.2254683140299956,26084.26409124972,-121.2269279803900016,41510.76295278264,-123.5806221102299952,34139.63571156297,-122.3463205288999797,38313.38425830465,-118.40116840137,24689.65870110981,-119.5632462534299801,29242.95156166113,-113.9376878160499865
