"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",,"received simTime LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230512-16:17:19-19966)",
145.20176174172,145.2017617417199626,81.64164133906,81.64164133905998675,161.89079740385,161.8907974038500008,70.00992606174,70.00992606174000315,66.00992333985,66.00992333984999025,116.12451783054,116.1245178305399856,85.0953032292,85.09530322919999855,143.13118942581,143.1311894258099636,115.88211925975,115.8821192597499981,104.8298673842,104.8298673841999853
157.73254265242,157.7325426524199652,91.69097444799,91.69097444798998675,168.76954512308,168.7695451230799785,74.38299119007,74.38299119006998665,70.38298847057,70.3829884705699836,164.50039239906,164.5003923990599895,89.11482629145,89.1148262914499863,157.5837545518,157.5837545517999837,131.92362534099,131.9236253409899855,108.84938928533,108.8493892853300048
178.81921741915,178.8192174191499922,95.71049445509,95.7104944550899856,180.8402567428,180.840256742799965,81.09530274354,81.0953027435400028,78.04543090446,78.04543090446000485,168.519912405,168.5199124050000132,93.84446944206,93.8444694420599883,164.94168784249,164.9416878424900113,135.94314534164,135.9431453416399898,115.34289239072,115.3428923907199813
184.92022042548,184.9202204254800102,107.4296285677,107.4296285676999782,187.57586465502,187.5758646550199835,85.11482581727,85.11482581727000225,85.43463111442,85.4346311144199998,172.76954693808,172.769546938079997,97.88749628195,97.8874962819500066,182.09091893059,182.0909189305899637,154.87901651457,154.8790165145699683,132.84531241297,132.8453124129699741
188.93974041498,188.9397404149800072,144.82111340351,144.8211134035099683,210.2009727263,210.2009727262999938,105.53862804523,105.538628045229984,89.8679750816,89.86797508159997935,177.59929576889,177.5992957688899872,102.92072603982,102.9207260398199816,210.88835681997,210.8883568199699988,158.89853651429,158.8985365142899577,139.93067318882,139.9306731888199801
192.95926516621,192.9592651662100016,148.84063340872,148.8406334087200087,214.22049273343,214.2204927334299775,116.44108391065,116.4410839106499788,93.88749508861,93.8874950886099948,182.25956467843,182.2595646784299668,107.71049845829,107.710498458290004,227.10122288774,227.1012228877399925,171.91818444958,171.9181844495799957,143.95019320088,143.9501932008799933
198.05142752966,198.0514275296599741,155.29710027408,155.2971002740799796,218.64410914943,218.6441091494299932,120.46060391068,120.4606039106799922,98.92072486878,98.9207248687799843,186.81921910266,186.8192191026599852,112.82986878375,112.8298687837499865,251.9112057074,251.9112057073999712,207.00983052711,207.009830527110011,157.96796055065,157.9679605506499903
209.92164540864,209.9216454086399602,169.59929377314,169.599293773140004,226.41947715684,226.4194771568400022,128.30922932026,128.3092293202599872,103.71049730913,103.7104973091300048,191.12989379875,191.1298937987500032,116.84939071714,116.8493907171399821,261.521400529,261.5214005289999467,229.3317649379,229.3317649379000033,161.98748056235,161.9874805623499577
213.94116539745,213.9411653974499921,173.61881699396,173.6188169939599668,230.43899968382,230.4389996838199856,147.27727864954,147.2772786495399937,108.82986765861,108.8298676586099981,197.80801183701,197.8080118370099846,131.69983134131,131.699831341309959,265.54092053805,265.5409205380499305,268.10137093453,268.101370934529995,188.95926262118,188.959262621179959
218.29049341825,218.2904934182499793,198.95339879928,198.9533987992799658,239.36110797965,239.36110797965,163.98714439622,163.9871443962200028,112.84938961129,112.8493896112899785,207.05434104652,207.0543410465199932,139.13118786517,139.1311878651699766,269.70247833105,269.7024783310499735,275.06213016816,275.0621301681600237,195.12989491984,195.1298949198400116
246.13809952528,246.1380995252799827,214.64410728365,214.6441072836499862,243.38063050755,243.3806305075499945,187.12989337107,187.1298933710700106,130.24296530204,130.2429653020399765,232.75317663692,232.7531766369199875,144.89041757904,144.8904175790399897,275.31267985842,275.3126798584199822,285.10360716009,285.1036071600899492,201.66325104115,201.6632510411499757
260.71428746387,260.7142874638699362,235.61473083662,235.614730836619969,256.28009309992,256.2800930999200077,197.66324949983,197.6632494998299866,134.96525280082,134.9652528008199962,236.77269664129,236.7726966412899962,148.90993756871,148.9099375687100057,281.8847709537,281.884770953700012,289.12312715466,289.1231271546599817,208.87732665714,208.8773266571399738
265.70247633881,265.7024763388100145,253.45485334647,253.4548533464699737,285.36077855664,285.3607785566399562,216.75575438482,216.7557543848199651,140.84569093338,140.8456909333800121,244.93957012148,244.9395701214799592,156.04928269542,156.0492826954200035,292.58030750173,292.580307501729975,295.05314387908,295.0531438790799245,246.02797043249,246.0279704324900072
271.62168985454,271.6216898545400217,257.47437334752,257.4743733475199852,298.53376962773,298.5337696277299515,235.63425128485,235.6342512848499945,152.04928179216,152.0492817921600016,248.95909262955,248.9590926295500135,161.58375530668,161.5837553066799608,296.59982862923,296.5998286292299315,299.74891198421,299.7489119842099392,250.04749044181,250.0474904418099972
278.31207659427,278.3120765942700237,263.38063646531,263.3806364653099752,302.55328963991,302.5532896399099617,240.77269776485,240.772697764849965,165.41589221852,165.4158922185200135,254.04749074135,254.047490741349974,174.24004308166,174.2400430816599616,301.64705061391,301.6470506139099815,303.83317951845,303.833179518449923,255.38063497536,255.3806349753600095
291.0531422238,291.053142223800022,269.94458858606,269.9445885860599212,307.83318185943,307.8331818594299412,247.36111073896,247.361110738960007,169.43541223048,169.4354122304799825,259.3806352678,259.3806352678000157,178.25956307167,178.2595630716699578,314.78267989764,314.782679897639922,309.29754724765,309.297547247649958,259.63074190653,259.630741906529919
300.44802679545,300.448026795450004,273.96410858646,273.9641085864599277,332.51896721953,332.5189672195299392,251.38063325306,251.3806332530600107,173.59929442202,173.5992944220199657,263.63074219336,263.630742193359992,182.81921747838,182.8192174783799822,318.80219990519,318.8021999051899217,317.92695683378,317.926956833779967,264.18462565457,264.1846256545700262
305.29754556821,305.2975455682100107,279.06213083492,279.062130834920025,345.59791777051,345.597917770509979,255.9112072589,255.911207258899991,181.16108976688,181.1610897668799675,281.38176312684,281.3817631268399272,194.0514252024,194.0514252023999682,364.39212692165,364.3921269216499455,322.80220172257,322.8022017225699745,268.2041456633,268.2041456632999815
313.92695514038,313.9269551403799587,295.81365890032,295.813658900319978,349.61744141942,349.6174414194199455,260.28009568351,260.2800956835100117,192.27082326467,192.2708232646700132,285.40128312999,285.4012831299900187,199.81851473976,199.8185147397599616,368.41164692763,368.41164692762993,327.82282842494,327.8228284249399837,291.15578462666,291.1557846266599642
320.5337676876,320.5337676875999467,299.8331788997,299.8331788996999865,353.85643320333,353.8564332033299695,264.71428853307,264.7142885330699745,226.39995599836,226.3999559983599845,291.47591040911,291.475910409109928,204.87732403571,204.877324035709989,404.66583977002,404.6658397700199415,331.84235230959,331.8423523095899545,301.61115197819,301.611151978189922
324.55328767462,324.553287674619922,305.57239865073,305.5723986507299502,367.82461540155,367.8246154015499755,275.61380663533,275.613806635329978,259.95120073275,259.9512007327499525,296.58030791431,296.5803079143099687,222.41071103834,222.4107110383399676,408.68536278962,408.6853627896199427,336.51897008415,336.5189700841499405,307.75611067589,307.7561106758899982
329.26709564257,329.267095642569983,326.70919556323,326.7091955632299675,371.84413719411,371.8441371941099742,291.10798364003,291.1079836400299415,276.95869124634,276.9586912463399802,301.83215730785,301.8321573078500242,226.43899768515,226.4389976851500127,415.44952384631,415.4495238463099427,344.23178631612,344.23178631611995,322.50906954073,322.5090695407300232
342.93943800261,342.9394380026100167,330.72871768681,330.72871768681,378.85115414123,378.8511541412299255,295.74891134374,295.7489113437400182,280.97821125862,280.978211258619921,308.31009813488,308.3100981348799207,233.16690053611,233.166900536110005,421.17371917135,421.1737191713499425,348.25613039953,348.2561303995299782,326.5285895474,326.5285895473999732
368.99546606821,368.9954660682100195,340.86821084824,340.8682108482399815,387.63780137465,387.6378013746499377,306.76444922397,306.764449223970017,287.47590929231,287.4759092923100057,314.99980725073,314.9998072507299852,237.1864205286,237.1864205285999662,448.98234845364,448.9823484536399275,353.59792136016,353.5979213601599425,330.70919667313,330.7091966731300077
378.46909914052,378.4690991405199142,347.40954900476,347.4095490047599227,396.258347489,396.2583474890000145,340.25612690742,340.2561269074200237,297.64704972054,297.647049720539939,350.19128308208,350.1912830820799612,243.36110844818,243.361108448180004,455.04078897418,455.0407889741799162,357.85643595839,357.856435958389965,334.72871880489,334.7287188048899217
382.48861912791,382.4886191279099405,357.34941988099,357.3494198809900112,400.27786750212,400.2778675021199877,349.85643061518,349.856430615179987,323.82282600217,323.8228260021700167,364.01831565141,364.0183156514099195,247.38063096007,247.3806309600699925,459.06030897704,459.0603089770399927,365.34942289123,365.349422891230005,340.23178483101,340.2317848310099167
390.8983030522,390.8983030521999337,375.31771823609,375.3177182360899442,408.66584143105,408.6658414310500107,353.87595534669,353.875955346689919,327.8423499053,327.8423499053000102,372.3526605718,372.3526605718000142,255.63073906469,255.630739064689975,463.1382081202,463.138208120199918,369.38735854442,369.387358544419952,344.256128928,344.2561289279999515
399.74284065795,399.7428406579499537,379.33723823239,379.337238232389949,439.22214782069,439.2221478206899962,361.38735545589,361.3873554558899727,333.57294203397,333.5729420339699792,386.8983016307,386.89830163069996,259.65026220116,259.650262201159989,467.15773124686,467.1577312468599515,374.20088032233,374.2008803223300205,349.59791990664,349.597919906639957
412.15832467119,412.1583246711899142,423.50426867018,423.504268670179953,443.24166783324,443.2416678332399425,395.73238780093,395.7323878009299267,362.18135751412,362.1813575141200077,399.72331926414,399.723319264139944,283.67988507869,283.679885078689948,472.03078241836,472.030782418359988,387.96524645302,387.9652464530199707,355.59452859979,355.594528599790009
416.1778446595,416.1778446595000095,437.53217999804,437.532179998039963,456.85209622095,456.8520962209499875,434.93245577724,434.9324557772399645,366.20087752475,366.2008775247500112,412.53008569423,412.5300856942300232,288.50982319922,288.5098231992200212,478.40559698488,478.4055969848799325,397.37783540559,397.3778354055899612,375.66957847721,375.6695784772099367
438.22262751162,438.222627511619975,441.55169999203,441.5516999920299645,460.87161984685,460.8716198468499655,464.0112604768,464.0112604767999735,371.82461604189,371.824616041889952,416.54960569385,416.549605693850025,295.84920218478,295.849202184779982,482.42511774552,482.4251177455199675,411.80473055925,411.8047305592499462,379.68909848182,379.6890984818199952
469.26160178619,469.2616017861899965,452.03256619787,452.0325661978699815,474.79214197671,474.7921419767100115,468.03078046637,468.0307804663699455,381.0475294677,381.0475294676999725,422.96083264872,422.960832648719928,299.8687221849,299.8687221848999782,486.81166388115,486.811663881150024,416.9153980039,416.9153980039000077,450.04931197229,450.049311972289955
480.45177394864,480.4517739486399225,457.14933382989,457.1493338298899952,478.81166198849,478.8116619884899575,491.14218077372,491.1421807737199275,388.85078770392,388.8507877039199892,433.65930139789,433.659301397889975,325.26709357433,325.2670935743299187,491.23501741735,491.2350174173499205,420.93491799402,420.9349179940199962,455.11980241373,455.1198024137299832
484.87596375744,484.875963757439988,461.16885382319,461.1688538231899185,487.95296881428,487.952968814279982,503.11265673388,503.1126567338799285,413.55973636691,413.5597363669099865,439.81865711317,439.8186571131699317,336.23178183474,336.2317818347399892,512.54699216925,512.546992169249959,425.17372062427,425.1737206242700025,474.40559690825,474.405596908250002
488.8954837506,488.895483750599963,479.21549592067,479.2154959206699215,491.97248882572,491.9724888257200045,526.30048545088,526.3004854508799315,418.01377638642,418.0137763864199755,447.37382421704,447.373824217040008,340.76182434577,340.761824345769922,517.47745915775,517.477459157749989,433.17372449566,433.1737244956599377,478.42511766743,478.425117667429957
494.81166544963,494.8116654496300255,483.23501591322,483.2350159132199655,496.43085514155,496.4308551415499535,530.32000543945,530.320005439449913,424.93491991921,424.9349199192099592,451.39334421571,451.3933442157099287,351.89608872264,351.8960887226400002,525.6860696219,525.686069621899831,437.65930258171,437.6593025817099925,482.81166380145,482.81166380144998
499.14218299931,499.1421829993099645,494.65136580768,494.6513658076800065,508.37455630133,508.3745563013300145,537.13180542928,537.1318054292798915,429.17372256938,429.1737225693799455,456.03256647485,456.0325664748499987,355.91560872975,355.9156087297499187,541.89044761918,541.890447619179893,442.22262932056,442.2226293205599162,491.25453809463,491.2545380946299905
