"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",,"Vector of RSSI per node LoRaNetwork_straight.networkServer.app[0] ($0=""avg"", #0 - General-0-20230518-18:36:21-53244)",
145.20176169301,-74.74280120999497935,81.64164108029,-70.06115558507198635,161.8907995773,-81.12488534382998725,70.00992576006,-69.97922752326999755,66.00992567838,-83.10246012409299935,116.12451854153,-69.9088804299740045,85.0953048289,-70.2503235948449853,143.13119059066,-82.054321290996995,115.88211821527,-78.7847891744810053,104.82986844505,-67.7088212530889844
157.73254260374,-74.2645180579209803,91.69097414326,-64.59006722122700215,168.76954726931,-77.02621119092498225,74.38299087244,-68.92860330361199285,70.38299079074,-70.72308500116798735,164.50039288213,-79.9068129757229995,89.11482788817,-73.01550705023299735,157.58375563256,-80.027077184912002,131.92362424297,-63.0825065473639908,108.84939032247,-71.95477270754798805
178.81921737465,-73.2934016607409828,95.71049413229,-69.2693482663609924,180.84025883828,-72.3105187432439889,81.09530240176,-65.0541347206099939,78.04543319078,-76.0038294709810029,168.51991286977,-64.39851505775197875,93.84447103532,-88.98619184703898075,164.94168888083,-83.11214103853799855,135.94314423073,-74.40690384708798855,115.34289338973,-72.2318005876030039
184.92022038314,-66.61293667654598465,107.42962819332,-67.1372667815199973,187.57586672056,-75.34416598060599285,85.11482546123,-73.040653974473997,85.43463336622,-83.77277308865399135,172.76954738362,-67.83219652054998485,97.88749787228,-74.87542454600298905,182.09091987113,-77.0560227179449836,154.87901534578,-63.7417686752139898,132.84531331031,-68.89149685205899215
188.9397403743,-72.024481891894993,144.82111287601,-70.0212677372389859,210.20097468342,-75.8202785000799789,105.53862761907,-73.41840467884298925,89.86797731187,-83.20333581386600465,177.59929619272,-76.94111200353700015,102.92072762655,-76.1885328759219928,210.88835760019,-84.9511962611179851,158.89853533385,-59.45951673594599615,139.9306740455,-76.2537020637570035
192.95926512736,-68.51632587225600425,148.84063286585,-64.65199214590899125,214.22049467009,-79.38924516829399605,116.44108344866,-71.5442014026739909,93.88749729886,-78.7081231141129929,182.25956508146,-71.99248249139398555,107.71050004163,-80.72101702915398355,227.10122358012,-72.52624003568899955,171.91818323303,-63.370491186278002,143.95019403464,-78.9339389573949856
198.0514274934,-75.11777198005299255,155.29709970699,-66.0120129095570004,218.64411106319,-76.31480414007600605,120.46060343578,-73.01866108500300325,98.92072705333,-76.27734510734597935,186.81921948549,-81.7357893012670044,112.8298703635,-73.15148564854999315,251.91120626912,-94.9429294858909994,207.00982922685,-68.8607820053919963,157.96796130531,-75.91407650670498665
209.92164537955,-66.44490376990898965,169.5992931545,-65.45314501097899985,226.4194790294,-69.60476075504499215,128.30922882058,-59.8621189673999934,103.71049946861,-74.127058348997991,191.1298941626,-68.09542924881898765,116.84939229409,-71.8471227687289795,255.93072625771,-84.3166028852459985,229.33176359679,-55.0466544275289917,161.98748129459,-73.7722487819719955
213.94116537114,-65.55314765839199225,173.61881636138,-70.6271099436639813,230.43900153463,-76.2523509906509955,147.27727809244,-61.77755102668599785,108.82986979069,-70.6744359397629861,197.80801217173,-76.0402934148499976,131.699832908,-97.4941817963409956,261.21312082614,-92.7443591298020063,268.10136955456,-55.5383751261719991,188.95926320619,-80.3132681215169836
218.29049339514,-72.17519661851,198.95339808445,-69.02315050052499125,239.36110978115,-72.9879706791199961,163.98714379148,-62.7182374402089945,112.84939172145,-78.300991656305001,207.05434134143,-69.8407583962799945,139.13118942674,-67.58062342328798855,267.56174099604,-81.36314821396098265,272.12088954878,-57.18698725247399725,195.12989547201,-76.9472194687819805
