"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",
12306.80264503925,-120.0431766111099982,8326.63422705072,-122.9310807576,7700.20994801734,-115.9725214053100041,8928.91693063978,-115.346065935690006,8783.69406769978,-115.7357948679999986,12754.06862596217,-118.3635085829199903,7646.98103829326,-113.72427397510998,11598.58136136846,-121.5208446743500016,17456.89386449012,-123.4772291525299858,10155.65388646948,-128.0311069820500047
12640.51963278743,-126.2036251590199918,8608.35899395107,-117.4604764815299797,7958.07117000177,-118.496144885719985,11001.39029575843,-111.0904365335699988,9426.16009794884,-120.4092008540299896,14237.26498011469,-125.3252434334499976,10435.40473153145,-115.7144859347500012,13658.47988634172,-121.9464946094399801,17957.06416920664,-116.4759692602000025,12414.1834659209,-122.6080400439399791
12875.4626659102,-124.7192012271599987,8761.7680769405,-113.8752981039399966,10544.40188457082,-114.8789232308599816,11053.62518942528,-110.8914397138100009,10149.8093064147,-124.6880588660999927,14437.42588265914,-121.5594189976099806,11071.79816452043,-121.2394977762500043,13954.77483887847,-123.2294366993199896,19509.69800901685,-122.5390290388699835,13485.73557136913,-128.1014693600000097
13209.25045057287,-121.8305821742299878,8882.57658642934,-116.840235595629991,13710.60644019277,-116.2124848931200058,11187.52148572271,-112.8164248767400006,10224.34442499539,-118.7101224722800048,15567.58438710654,-117.8732756036600046,12887.33093420946,-121.8507994068999943,15822.91439625766,-124.1636857773299876,19529.51035515498,-121.406787009929985,13592.85482231097,-129.6050169163700043
13857.33043521763,-125.4350922275299917,9675.68614956962,-114.5350826780599785,15023.26101998061,-116.7981003207700036,11273.29573056562,-122.1983707713600035,11799.24081302405,-121.277398282299998,15664.46508207614,-123.8250771057199977,12956.3582194726,-113.6540644158099833,17572.38059419637,-126.208558319350004,19802.6223925735,-121.2558622435499838,14016.15184002822,-119.2962196208199823
14240.86335432418,-125.6943909757199828,10391.2482524067,-121.453345936789986,17611.8945510341,-119.1584732154800003,11605.01746180442,-119.1672645516499921,14776.5918118349,-120.9489734145599863,16255.74587412853,-121.8904167838499855,12984.57063798764,-119.5123613227299865,18106.25337961174,-126.0706486523699818,20735.38665728292,-121.1720808548099903,16710.42565758068,-127.5937116608899937
16004.56813021922,-124.5455044432700045,11055.25421620549,-116.1502553232400028,24058.15715885437,-119.4737608765800015,13789.7578550919,-117.4241250388799922,16138.25762705166,-120.9688534778800028,18955.29093863258,-121.3596241960700008,14330.64446218197,-115.8270429704599843,18273.7048288296,-117.9608754794400051,25372.86794649657,-120.5784301211599821,16889.91098693468,-127.9238086616699941
17102.96696140591,-124.4725201919000025,15481.22759679881,-120.6139291490499938,26089.02853469728,-114.7463858166999836,16324.06383763195,-119.1473768300699868,16712.62082188546,-125.4187581343300048,20098.20462143146,-120.8773816487799872,15447.58917256766,-121.1819819441599856,18756.92757372625,-121.4859421636699887,25999.91200406456,-118.9098150102599898,20301.64659495567,-124.766075196849982
17869.80827344516,-126.2097788435799823,15790.81355565191,-113.0271793942000041,28218.70049960905,-119.7244772666499836,17090.60115922746,-115.9899304540799956,18000.9884229467,-118.9291555957200041,21106.40497432817,-119.5371450559299825,16712.20187737628,-112.8761201777699904,19860.74752242832,-122.127166063749996,26196.09433905471,-120.4658630178199981,20431.6639518653,-123.994733700509982
18154.73172064251,-124.2101628856700012,16470.74844817558,-117.4709507628799937,28902.24307381599,-113.9246390685899821,17447.11963414694,-108.2311510607599981,18569.51832077377,-121.5551387254299977,21619.47472761361,-122.9340628820799845,19135.1044100878,-119.4067105906599975,20681.90372331927,-124.618519444459991,26762.1920805819,-117.339240913660006,21635.51823130799,-116.0679067676900043
