,node_num,rssi_value,simtime,time_step,kalman
89,node3,-63.82787135977999,8.98444683165,3.239962976429,-62.44158831304873
90,node4,-62.65736435524799,8.986797508159999,0.443334396717999,-62.40320318113896
91,node0,-69.74296251567,9.076664106401001,0.46887815497600194,-67.66270936337185
92,node8,-75.08733166582499,9.090120408998,2.3903521426620014,-73.5138393049015
93,node6,-66.57555302692799,9.169097444799,1.0049333108929996,-69.55510400266078
94,node5,-67.027980602815,9.28762314849,1.176140757924001,-67.86449771637079
95,node2,-63.223405574662,9.384446944206001,0.47296431506100056,-63.7629914692628
96,node4,-58.701433265063,9.388749508861,0.40195200070100157,-61.828218217031704
97,node8,-74.306266339995,9.492072408264999,0.4019519992669984,-73.89569767619498
98,node6,-71.376719589452,9.571049445509,0.4019520007100006,-69.58319714570456
99,node7,-67.57087281711398,9.723807524788999,1.3402759627819982,-73.33258561013126
100,node2,-60.916581055927,9.788749628195001,0.40430268398900004,-63.329637414995865
101,node4,-61.159655177483,9.892072486878,0.5033229780169997,-61.76933550838788
102,node8,-75.70141639631998,9.97104965045,0.4789772421850014,-74.53093502880373
103,node5,-63.682446706793,10.005988985974,0.718365837483999,-67.37578402449265
104,node7,-66.66717608934198,10.125759524995,0.40195200020600197,-71.6175225650738
105,node3,-66.990236451785,10.219126711344,1.2346798796939993,-63.908598637347744
106,node2,-65.36300937204399,10.292072603982,0.5033229757869986,-63.7005170820504
107,node4,-72.00361013678099,10.371049730913,0.47897724403500064,-63.49016835729769
108,node5,-69.858199612649,10.48298673842,0.4769977524459996,-68.16027991348942
109,node1,-70.24326653299697,10.553862804523,2.042380222796,-72.21529955916775
110,node9,-69.17474287450699,10.609889372972,1.8275262711250004,-65.8562334124543
111,node3,-74.759258491748,10.621078712527,0.401952001183,-66.77700777604136
112,node7,-71.443681249534,10.679995958539,0.5542364335439984,-71.51893595135463
113,node6,-69.59649408067,10.74296285677,1.1719134112609986,-68.66247451322582
114,node2,-74.72521231025999,10.771049845829001,0.4789772418470015,-65.51331799433706
115,node4,-64.25486024645699,10.882986765861,0.5119370349479997,-63.73196929236759
116,node5,-71.189482437402,10.884938928533,0.40195219011300054,-68.98543518198116
117,node3,-65.15191144026599,11.134289165545,0.5132104530180008,-66.60861032922945
118,node7,-65.596680113513,11.186259925829,0.5062639672900016,-70.21303805371763
119,node2,-76.581379012023,11.282986878375,0.5119370325459993,-67.37472082450776
120,node4,-69.15177445661499,11.284938961128999,0.40195219526799875,-64.66768340840709
